station_code,monitor_time,aqi,pm25,pm10,so2,no2,co,o3
1101A,2026-02-09 23:00:00,69,38.3,53.76,9.4,44.19,1.81,59.11
1102A,2026-02-09 23:00:00,162,105.53,125.75,13.39,19.18,1.05,91.17
1103A,2026-02-09 23:00:00,94,56.51,80.89,11.79,15.8,0.66,83.72
1104A,2026-02-09 23:00:00,170,92.04,133.72,26.5,18.11,1.47,114.23
1105A,2026-02-09 23:00:00,35,22.42,42.9,12.48,39.11,0.95,56.5
1106A,2026-02-09 23:00:00,117,68.95,86.47,9.87,18.23,1.84,87.06
1107A,2026-02-09 23:00:00,43,31.33,28.38,20.04,16.71,0.69,74.83
1108A,2026-02-09 23:00:00,94,52.98,73.23,17.75,33.16,0.96,56.06
1109A,2026-02-09 23:00:00,82,52.19,71.67,11.04,28.89,2.24,79.44
1201A,2026-02-09 23:00:00,41,27.74,37.43,26.35,19.39,1.18,85.67
1202A,2026-02-09 23:00:00,131,76.22,116.39,21.7,18.01,0.66,90.62
1203A,2026-02-09 23:00:00,181,114.99,138.05,13.26,23.69,1.41,43.27
1204A,2026-02-09 23:00:00,30,27.23,10.64,10.01,45.57,2.2,83.23
4401A,2026-02-09 23:00:00,31,9.73,12.62,15.08,33.63,2.23,64.73
4402A,2026-02-09 23:00:00,39,24.56,39.6,25.18,30.42,1.95,58.17
4403A,2026-02-09 23:00:00,141,93.97,101.96,9.64,20.33,1.98,35.4
4404A,2026-02-09 23:00:00,146,83.77,130.33,7.94,41.57,2.48,96.48
4405A,2026-02-09 23:00:00,92,46.99,68.43,5.7,35.03,0.82,46.5
4406A,2026-02-09 23:00:00,164,102.99,125.93,29.55,33.64,0.69,52.2
4407A,2026-02-09 23:00:00,59,27.26,58.27,25.02,35.08,1.29,58.56
4408A,2026-02-09 23:00:00,176,107.78,136.08,22.97,32.0,1.62,88.72
4409A,2026-02-09 23:00:00,176,101.71,153.15,25.22,22.81,1.06,63.94
4401B,2026-02-09 23:00:00,104,69.73,81.88,10.4,16.93,1.3,52.83
4402B,2026-02-09 23:00:00,129,87.1,116.91,14.6,16.0,1.81,74.63
4403B,2026-02-09 23:00:00,104,61.13,79.6,9.97,20.45,1.44,64.2
4404B,2026-02-09 23:00:00,54,41.41,45.68,18.1,45.39,2.11,46.34
4405B,2026-02-09 23:00:00,183,118.04,148.64,14.75,46.8,1.1,28.46
4406B,2026-02-09 23:00:00,59,38.88,41.68,29.54,48.6,1.62,27.94
5101A,2026-02-09 23:00:00,149,97.77,128.78,19.46,22.32,2.49,93.05
5102A,2026-02-09 23:00:00,48,23.39,30.37,5.28,20.08,0.71,117.57
5103A,2026-02-09 23:00:00,137,78.23,124.31,9.47,33.29,0.56,80.51
5104A,2026-02-09 23:00:00,79,38.0,55.01,22.93,47.23,1.63,26.9
5105A,2026-02-09 23:00:00,119,69.3,84.38,28.6,29.47,1.56,92.46
5106A,2026-02-09 23:00:00,169,109.66,138.36,19.4,42.01,1.04,111.98
5107A,2026-02-09 23:00:00,56,43.39,50.98,8.54,28.62,1.15,45.08
1101A,2026-02-10 00:00:00,96,53.39,85.04,28.73,21.78,0.72,31.15
1102A,2026-02-10 00:00:00,55,39.95,57.9,12.2,45.77,1.65,58.32
1103A,2026-02-10 00:00:00,91,56.0,82.8,6.25,48.37,1.0,36.02
1104A,2026-02-10 00:00:00,51,35.61,54.01,14.68,30.7,1.82,68.53
1105A,2026-02-10 00:00:00,71,34.33,44.87,17.42,25.39,1.35,23.26
1106A,2026-02-10 00:00:00,73,44.33,52.47,18.22,30.19,0.86,119.19
1107A,2026-02-10 00:00:00,169,97.28,130.86,26.07,24.43,1.37,55.94
1108A,2026-02-10 00:00:00,110,62.54,98.62,8.05,38.4,1.57,119.44
1109A,2026-02-10 00:00:00,132,80.67,105.31,25.2,37.44,0.88,92.64
1201A,2026-02-10 00:00:00,106,57.79,88.94,27.42,43.32,0.86,118.81
1202A,2026-02-10 00:00:00,157,98.29,122.36,26.38,28.93,1.33,45.11
1203A,2026-02-10 00:00:00,147,92.88,132.07,27.22,26.51,1.25,54.41
1204A,2026-02-10 00:00:00,89,49.31,60.74,19.51,33.63,1.25,47.32
4401A,2026-02-10 00:00:00,179,109.92,154.53,8.72,31.25,1.12,110.93
4402A,2026-02-10 00:00:00,99,60.22,80.72,16.52,15.56,0.64,65.38
4403A,2026-02-10 00:00:00,155,86.0,117.86,23.02,15.11,1.96,109.82
4404A,2026-02-10 00:00:00,32,24.79,31.05,18.25,48.47,0.97,70.17
4405A,2026-02-10 00:00:00,175,106.71,132.75,25.55,27.81,0.96,106.94
4406A,2026-02-10 00:00:00,51,27.27,49.6,18.07,21.44,2.3,43.78
4407A,2026-02-10 00:00:00,119,65.19,100.19,6.71,18.38,1.84,104.01
4408A,2026-02-10 00:00:00,73,45.44,65.19,10.7,37.43,2.06,65.13
4409A,2026-02-10 00:00:00,155,94.5,137.6,6.36,17.3,1.75,94.7
4401B,2026-02-10 00:00:00,142,84.78,117.15,8.85,35.67,1.51,79.93
4402B,2026-02-10 00:00:00,97,62.37,74.13,20.78,48.94,0.72,46.15
4403B,2026-02-10 00:00:00,135,82.36,122.33,8.06,35.16,2.3,97.94
4404B,2026-02-10 00:00:00,74,52.38,53.59,8.65,40.35,1.28,66.66
4405B,2026-02-10 00:00:00,111,58.19,80.9,9.18,24.38,1.71,89.77
4406B,2026-02-10 00:00:00,103,71.31,91.24,28.2,48.43,1.73,58.2
5101A,2026-02-10 00:00:00,166,95.73,122.86,15.13,46.12,2.1,84.39
5102A,2026-02-10 00:00:00,127,66.62,100.13,13.11,43.28,0.9,85.02
5103A,2026-02-10 00:00:00,125,84.78,109.12,12.65,21.19,1.73,95.25
5104A,2026-02-10 00:00:00,162,104.87,133.23,28.04,20.9,1.83,80.73
5105A,2026-02-10 00:00:00,155,91.1,123.91,25.29,21.47,2.38,36.17
5106A,2026-02-10 00:00:00,128,79.76,92.21,17.74,19.37,1.85,55.38
5107A,2026-02-10 00:00:00,132,80.85,90.88,10.67,25.64,2.11,81.08
1101A,2026-02-10 01:00:00,151,97.63,109.12,11.36,38.64,1.06,48.85
1102A,2026-02-10 01:00:00,175,102.0,132.78,13.64,22.27,1.77,34.65
1103A,2026-02-10 01:00:00,131,73.08,104.56,11.78,41.02,0.97,84.09
1104A,2026-02-10 01:00:00,68,34.43,59.91,25.62,31.52,0.8,61.59
1105A,2026-02-10 01:00:00,140,86.27,113.8,10.79,27.24,1.88,49.2
1106A,2026-02-10 01:00:00,86,50.41,56.79,18.49,16.02,2.01,109.49
1107A,2026-02-10 01:00:00,90,50.74,81.91,8.51,26.69,0.79,102.16
1108A,2026-02-10 01:00:00,64,31.71,52.37,27.81,49.76,1.62,77.94
1109A,2026-02-10 01:00:00,68,41.71,57.2,17.49,21.92,0.58,41.53
1201A,2026-02-10 01:00:00,31,21.13,17.79,22.59,19.89,2.41,115.29
1202A,2026-02-10 01:00:00,178,115.2,143.04,25.29,33.12,0.72,20.76
1203A,2026-02-10 01:00:00,158,102.03,126.77,6.98,21.25,2.19,85.21
1204A,2026-02-10 01:00:00,126,68.52,94.55,20.57,42.91,1.21,102.17
4401A,2026-02-10 01:00:00,162,105.43,120.19,20.94,33.34,1.85,58.01
4402A,2026-02-10 01:00:00,159,98.48,131.41,9.1,49.86,1.11,99.96
4403A,2026-02-10 01:00:00,160,86.54,128.04,21.03,35.3,1.05,38.49
4404A,2026-02-10 01:00:00,172,97.86,150.04,26.34,20.74,2.26,108.8
4405A,2026-02-10 01:00:00,57,28.97,42.34,11.5,45.49,1.32,91.06
4406A,2026-02-10 01:00:00,107,65.03,78.91,29.88,17.36,0.67,94.6
4407A,2026-02-10 01:00:00,173,99.92,129.17,13.76,15.64,1.1,37.42
4408A,2026-02-10 01:00:00,95,49.19,69.59,14.47,26.1,1.07,103.69
4409A,2026-02-10 01:00:00,136,75.89,122.56,19.74,36.85,2.18,23.85
4401B,2026-02-10 01:00:00,145,78.73,108.29,25.31,24.62,1.97,23.92
4402B,2026-02-10 01:00:00,167,103.57,145.09,29.2,39.57,0.55,28.62
4403B,2026-02-10 01:00:00,90,63.61,62.63,9.07,23.48,1.09,58.31
4404B,2026-02-10 01:00:00,88,61.0,60.96,13.29,40.98,0.85,58.11
4405B,2026-02-10 01:00:00,178,112.53,156.2,14.53,38.51,0.9,96.22
4406B,2026-02-10 01:00:00,103,54.99,84.99,26.44,17.1,0.9,88.38
5101A,2026-02-10 01:00:00,83,48.57,72.16,29.72,20.12,1.18,27.55
5102A,2026-02-10 01:00:00,77,46.01,53.81,29.62,22.44,1.34,118.01
5103A,2026-02-10 01:00:00,114,69.8,102.52,12.53,37.11,2.3,83.83
5104A,2026-02-10 01:00:00,47,35.4,49.98,25.28,45.96,2.43,71.95
5105A,2026-02-10 01:00:00,136,80.51,122.35,26.98,25.09,0.73,27.91
