code,name,city_code,address,station_type
1101A,东城东四,110100,东城区东四北大街,Urban
1102A,西城天安门,110100,西城区天安门广场,Urban
1103A,朝阳奥体中心,110100,朝阳区奥林匹克体育中心,Urban
1104A,海淀万柳,110100,海淀区万柳地区,Urban
1105A,丰台花园,110100,丰台区花园路,Urban
1106A,石景山古城,110100,石景山区古城大街,Urban
1107A,海淀万寿西宫,110100,海淀区万寿西宫,Urban
1108A,昌平定陵,110100,昌平区定陵监测点,Suburban
1109A,朝阳农展馆,110100,朝阳区农业展览馆,Urban
1201A,黄浦人民广场,120100,黄浦区人民广场,Urban
1202A,徐汇上海体育馆,120100,徐汇区上海体育馆,Urban
1203A,静安监测点,120100,静安区监测站,Urban
1204A,浦东监测点,120100,浦东新区监测站,Urban
4401A,越秀监测点,440100,越秀区监测站,Urban
4402A,天河监测点,440100,天河区监测站,Urban
4403A,海珠监测点,440100,海珠区监测站,Urban
4404A,番禺监测点,440100,番禺区监测站,Suburban
4405A,白云监测点,440100,白云区监测站,Urban
4406A,荔湾监测点,440100,荔湾区监测站,Urban
4407A,黄埔监测点,440100,黄埔区监测站,Urban
4408A,花都监测点,440100,花都区监测站,Suburban
4409A,南沙监测点,440100,南沙区监测站,Suburban
4401B,南山监测点,440300,南山区监测站,Urban
4402B,福田监测点,440300,福田区监测站,Urban
4403B,罗湖监测点,440300,罗湖区监测站,Urban
4404B,宝安监测点,440300,宝安区监测站,Suburban
4405B,龙岗监测点,440300,龙岗区监测站,Suburban
4406B,盐田监测点,440300,盐田区监测站,Urban
5101A,锦江监测点,510100,锦江区监测站,Urban
5102A,青羊监测点,510100,青羊区监测站,Urban
5103A,金牛监测点,510100,金牛区监测站,Urban
5104A,武侯监测点,510100,武侯区监测站,Urban
5105A,成华监测点,510100,成华区监测站,Urban
5106A,高新区监测点,510100,高新区监测站,Urban
5107A,天府新区监测点,510100,天府新区监测站,Suburban
