商品ID,商品标题,价格,价格单位,价格描述,卖家昵称,店铺名称,店铺标签,销量,地区,标签,商品属性,图片链接,商品链接
988397565155,POPMART泡泡玛特小野Hirono公路日志毛绒公仔挂件盲盒周边礼物,129,¥,,泡泡玛特旗舰店,泡泡玛特旗舰店,回头客20万,3万+人付款,江苏 苏州,"超级爆款, 退货宝, 包邮",款式类型:隐藏款 | 出售状态:现货 | 品牌:POP MART/泡泡玛特,https://img.alicdn.com/imgextra/jz3_4/2885348004/O1CN0171RFb728ztDm4PV6o_!!2885348004-0-alimamacc.jpg,http://click.simba.taobao.com/cc_im?p=%C5%DD%C5%DD%C2%EA%CC%D8&s=502180271&k=2401&e=iDAPpAede0wyPIZkmuhZB8aQH%2Fv6IjW1qD7rOFqHGJ58Mos4BKm1JFkSXyMtp3XXLMM7k2fwfzel0buz98kYlscXXEbuStC7PeTRE302i4pLgvPCTsjrX0hRoNF6xVV%2BButKCWY9YWLp0%2Byb2DWz7og1I2Ehd9CvjbOJPvQJ6OIOADPBR%2BF4TIWS1x5LsUAoMF7qyfGVlRQU6dYEOzyw28GmJ1WzIy6UuE1rCS%2F0Oae7T37D85DJ3E%2BcZ3LdJ4OIo84n%2BnAazQABTcBwYdQETq1uC6YGTriUtu53Ir66CtL0WS8TnfgWxrZTDWUhE7Qzpvy%2BOLb2%2F6JO%2BGPQiV%2BX1Swbq9fLvwbzoNykLNhXP%2BdGpJS1NF0bsubkzU9DChPzeGdXvx3c6w3g%2F6D7RLqM4SVyfrBgwP%2FBrCoe7RFqTHUgwPiMi%2BpMl6hU1bMnnhjX4Iu9Qt1eo4f%2FejABRWeqEuBm1IvssxYrs0UQ1oFe%2BdRvdOAOwHHme3z0XTctPl%2FdFWCBuep4AAHzZ%2BA1W3sSPKS8Gthw7si1RlbOVylT%2FECnCGOJs6TKsUGQkWzgHhXVDz0iqbFZ4Am5jRQEMKnznauQ6tOoNXNlaD2T9W%2BdKMRFsIPBzWYhERlg3nRcgvRCjTQIFJy5CXyWFMc0s0S11VxPFG0WlaDz71by2HhEuETZjWT0hJKmY0g7dgP7GCQ%2BM3Ou2JWCYPQCxiOXUsuR35rNAxRkn0%2Bol3xsB6C1qzkaZMdrUjOOPXrb4NJkhRVumfgV3rhSVIXMwIGV7fgKjEwvaNeUYJldUR%2BZBY8y5CWOlU8mdmx1k%2B6574ugbhZQJlpG%2F4DBjinxKaA8DFaFbEIURfKCJK4QP7xG1ogMCdW0%2BA7wcMH7paARzKgQzDxSPOfYhgEydn4BqF%2FkMLr201%2F9Xmjz8VuC%2FCzGLTpvugXUaWb0a%2BmWScv6eQiOVCzZDo2YF94TRfXU5Umcd3BkQ2URCWMXZLgignIV71kedIGAzK%2FIHOaoaWsap4cwAXx%2FPocVssWfj1jNPNyz4o7GpIc1vWALiX9iTGz8BdkUR4o5H6nW82tskL5pfOQ12tdSBuiHHVXiEZT1KxiQ5iC67%2BpdTHj258YhRkcMVKMtBIrf8OoMoWexJxZqK17anlCCGHuX3yqEL1NJjP77CPMxmX7eIQUdC9cew7c5ipAMniIWqdKPfeihKDKNSMIjlhrLVRjeT0cadU4SVJ9PjKg7VmtZoNFtIZ8idRMbDiQqzItVwb1E3zJfl%2F8%2BP3CZ8eIgdHcMq3Co1S7psu%2BiEOn0tgK3XgxsHD7BJ0GIP5vTDM%2FsXfjFwI%2FVfGg9k%2FVvnSjEXby%2FL78zJVHAe%2BhnyLADFg89IqmxWeAJD3M67%2FTQqTzKS%2BxwtckBmxvu5MHoYLbhoeHurugWV3AX9%2B4YjJndG3pcyAIULfQK8aacOwOdCi96Kcfa4%2BzQ3E0Z%2FE9v1ZkzSDt2A%2FsYJD6EPetfx7l5zTaK5o8ajq2lHk66fAgxYyR0ekFg3V2X1Oa67g%2Bcg8vtvCABsh0YeZmG8j3ATdDjw3k4%2B6Ovckhikl84h2ofIPa9NS5y%2FWmrJFCDrTXyDv2H%2B%2FqcQfWG%2BECEdrYWOlAHGAW0poslpO8yVvxuUAGdIBbU5Umcd3BkQ3dK8lP3zD1YuPH2KqW1b1iumRo0xtvA%2FNTlSZx3cGRDD4cm3Q%2BgxHVFRPuYqBPc%2FXeUEREbmK0CTXlode%2FNE8KI8QVgEPxzQnqaBJxirXTgkbe35TonU%2FfT0ZXQhgFdwADxzG3DFMfKdpazPTZESoXa1lorDTXylmmwR6cfoL72MdW6uWwzOce6AaE7ztBWlDL3pcXEGUDr%2FIDTpf5CqrGjzkEcoB92ZFaT7n3MbxG1U97xzzYRFVk1axyu1XuiRETiYfncX%2F9tbdrK%2FxHKM6QVvZjM0k7yMNChFYq7D4eGMUd9xW1sgBB49dD85ZMEYAD7zHi%2Br2y7t50r4VDqIOiIWmgdh%2BUvpJCmUtAvwesx4DmnwrqiEmFp4XLiFQwDHyhwDOcNAkNC8k1qI0O2QnS1L%2Fg3hUOGozapx8Aj%2FGqLtai9Upmi4b4NB2QFjYtZyNh80YQKvHKJSTABnS2F8rm8Mzqvm70Q8Q%2F48bZ87o9pdkHV7rYnmC7tySV718BW2O9lx6aU%2FWMGGVlasHYQBSfELrQGODycKbeOnUY3qWLy9nkcsbt7LNDJ5LFAI6x4Rw629Fb6Yw2UcEBGXwzE2kf8gNOl%2FkKqsaPnZSCi5O0x3w%2FzetLbwQMfd8RDELxy%2BohdvgLUyQ%2Brn3mhBAL9KI6ApHT%2F69QBoDdVum99cYUR%2F1wHjX6%2B3XzJe2qLKEe1c1tsrOFyWomy7mbLNSw8W6ceXSlAznAntJEUH3BM5P4Z&mm_sceneid=1_0_116045295_0&a=xxc%3Dad_ztc%26mi_id%3D0000io-oyI8ozvXh68Xxjc-IOl1A6cb2oFfQyMnQd8mwEXE%26skuId%3D5991689369992&id=988397565155
921480173087,POPMART泡泡玛特ΘSKULLPANDA光织园毛绒公仔挂件盲盒礼物,129,¥,,泡泡玛特旗舰店,泡泡玛特旗舰店,回头客20万,10万+人付款,江苏 苏州,"超级爆款, 退货宝, 包邮",款式类型:隐藏款 | 出售状态:现货 | 品牌:POP MART/泡泡玛特 | 商品状态:全新未拆封,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/2885348004/O1CN01Kmm9nF28ztE7okV3m_!!4611686018427382436-0-item_pic.jpg,//detail.tmall.com/item.htm?id=921480173087&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000Ks1KYjw8h6bFmd7jcFLIkDgLAKFqtgf1Qvxwx448-Nw&skuId=5984838471853
974104023503,POPMART泡泡玛特THE MONSTERS心底密码系列搪胶毛绒挂件盲盒,79,¥,,泡泡玛特旗舰店,泡泡玛特旗舰店,回头客20万,30万+人付款,江苏 苏州,退货宝,款式类型:隐藏款 | 出售状态:现货 | 品牌:POP MART/泡泡玛特,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2885348004/O1CN01HqXI1628ztE5DFeUm_!!4611686018427382436-0-item_pic.jpg,//detail.tmall.com/item.htm?id=974104023503&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000FfS3HK-lQDQEPDtX3r9LLGt8T_LbzhUSqQMpjTRKnXk&skuId=5917005233691
966940681156,POPMART泡泡玛特 星星人好梦气象局系列毛绒盲盒好彩天天来潮玩,59.9,¥,,李超越0922,TOP DOLL 俱乐部,回头客1万,1万+人付款,广东 广州,"店铺满299减3, 48小时内发, 包邮",款式类型:端盒 | 出售状态:现货 | 系列类型:联名系列 | 品牌:POP MART/泡泡玛特,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/2660786779/O1CN01mFowzM1zwq3Ipyzvc_!!2660786779.jpg,//item.taobao.com/item.htm?id=966940681156&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000uyTnIoQ3G5G8I3jVcPnua9PqwpMdvTkodbQdk0NTYXk&skuId=6180873042886
691171948601,POPMART泡泡玛特 SKULLPANDA温度系列盲盒 sp8代潮玩手办玩具摆件,69,¥,,三大王1988,大叔盲盒屋,5年老店,7000+人付款,浙江 温州,包邮,款式类型:隐藏款 | 出售状态:现货 | 品牌:POP MART/泡泡玛特 | 选购热点:淘公仔,https://gw.alicdn.com/imgextra/O1CN016QjlHq1zfQzjOXIWM_!!4264626741-0-picasso.jpg,//item.taobao.com/item.htm?id=691171948601&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000RtQOKo_Tq4r1jX3KrPCxRoEAcLlyMyeIRK6WZyuUCqs&skuId=5087915587014
994303749399,泡泡玛特星星人系列杯子办公室陶瓷马克杯礼物女生情侣水杯伴手礼,245,¥,首单价,tb752588564181,淡水鱼手作,,800+人付款,浙江 金华,"官方立减21元, 直降8元, 包邮",材质:陶瓷 | 包装形式:礼盒装 | 主图案:卡通动漫 | 产地:中国大陆 | 把手设计:单耳把手 | 适用场景:办公家用 | 品牌:POP MART/泡泡玛特,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2218196648267/O1CN01VCMQIb2AwLNT2PlMs_!!2218196648267.jpg,//item.taobao.com/item.htm?id=994303749399&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000gb6K3M9rpf2IzFq8B5r-i_6kaipYvlsXBmIL3Hzh8nk&skuId=5969951040848
910071531685,POPMART泡泡玛特星星人123星星人手办盲盒玩具公仔书桌面摆件礼物,199,¥,券后价,大肥羊998,POP泡泡盲盒,回头客3万,1万+人付款,广东 梅州,"店铺满10减5, 48小时内发, 包邮",款式类型:隐藏款 | 出售状态:现货 | 品牌:POP MART/泡泡玛特,https://gw.alicdn.com/imgextra/O1CN01O0zoRq2643xboCwGw_!!2663227607-0-picasso.jpg,//item.taobao.com/item.htm?id=910071531685&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000BtXSr0-UnrEspUfgXgdbED8LOhlypGaJDD_ezodnwJs&skuId=5774210041762
861585042154,POPMART泡泡玛特DIMOO如果今天星期八系列手办一盏风月盲盒礼物,56,¥,券后价,tb160998713,SP正版盲盒店,回头客10万,3000+人付款,浙江 台州,"店铺满39减5, 48小时内发, 包邮, 酷动城",款式类型:隐藏款 | 出售状态:全款预售 | 品牌:POP MART/泡泡玛特,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2208399554429/O1CN01d5hFzM1iaXGW0o5Y2_!!2208399554429.png,//item.taobao.com/item.htm?id=861585042154&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000QAZxxgid4w9mhPsm8iYeHMBSIhzdc0Vei4JZRlSueBE&skuId=6127492862684
994301613387,泡泡玛特我们都是星星人系列马克杯办公室家用高颜值情侣新年礼物,245,¥,首单价,tb752588564181,淡水鱼手作,,400+人付款,浙江 金华,"官方立减12%, 直降8元, 包邮",包装形式:礼盒装 | 主图案:卡通动漫 | 材质:搪瓷 | 产地:中国大陆 | 把手设计:单耳把手 | 适用场景:办公家用 | 品牌:POP MART/泡泡玛特,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2218196648267/O1CN01aOY3Br2AwLNSoNhuV_!!2218196648267.jpg,//item.taobao.com/item.htm?id=994301613387&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000JpwSjFaJxLgOovNXhiECDN3nhPXggUl_c2hSi4EcKRQ&skuId=6136518383839
1014940600656,POPMART泡泡玛特星星人怦然星动系列手办甜蜜回忆点亮倾听盲盒,66.9,¥,,李超越0922,TOP DOLL 俱乐部,回头客1万,1000+人付款,广东 广州,"店铺满299减3, 包邮",款式类型:隐藏款 | 出售状态:现货 | 系列类型:联名系列 | 品牌:POP MART/泡泡玛特,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2660786779/O1CN01CVvyHV1zwq3IkncZF_!!2660786779.jpg,//item.taobao.com/item.htm?id=1014940600656&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000lNkZ8GGqyXVezHRJywJyJ88DqVpVS_vgk0Qgp-dyrlw&skuId=6018325901461
