商品ID,商品标题,价格,价格单位,价格描述,卖家昵称,店铺名称,店铺标签,销量,地区,标签,商品属性,图片链接,商品链接
750776311357,万代官方正版PG 1/60 独角兽高达3号机菲尼克斯NT 电镀版限定现货,3599,¥,券后价,小鑫电脑数码外设,永乐玩具,7年老店,65人付款,广东 深圳,"官方立减12%, 全球购, 包邮, 公益宝贝",出售状态:现货 | 版本类型:日版 | 品牌:Bandai/万代,http://g.search.alicdn.com/img/O1CN01jP0B6J1nvfckcbayV_!!2612185152.jpg,http://click.simba.taobao.com/cc_im?p=%B8%DF%B4%EF%C4%A3%D0%CD&s=1398168607&k=2401&e=hiqePXtK6Kf19piIuOo2q6lM%2FFLuSTX6MLcdvC1hbOFnOFsAU6U2U1s5RmeQrNNy63cgLjmyL8y2xSBJNuW%2F%2BYgAXlUbsYrYoRE955AXQlHfDP%2BnRdYkfnTPqktJvPCN5tHEiNOeYHcDLaGdvGLhPsvkHIYr2aOfcT8EoGps0IYrhJi7qSAwUOfd3Ma2KE%2B4tSGjGqfDE2FFUGLASiH%2FWj6VBGIzcJ87gLEG6iTOi7%2FpVcQSVPRJ9B%2BWuEmVIiLJZMTqkVvAhoVkcfP3eu60tPDTHCzEv6%2BdvgeCiLVF6d4PSrGxDmb%2FkUjBmf5NXedoAT5aHOcgZJEdFtiRtl2D9YYVJMXCIDS8aIhzTvbl22dF%2BaPxDumJTzqsT%2BlU60sv6MsPtdIwXPRBvR0JL8V4yyFKyTYez6yCbFUTKI4q2w0mKHoNZ2ATt0zLJiPTzqV8hUfscKLuRP0YsvS%2FJXYe937ePVGOsFIZWa2OckB%2FOXQH7Q0ys6SbKoS%2BL94YvGWgDtscv%2FKFff0OnS3Rm1UGJaryKUEG70sJgFRRncOGr1Citgh8w7iN7%2BeSIyV1Qbadv9r2uvPJWLKffh9BnSmoU21HTSy629XfnWeoTfM719sT3%2Bm6GWoZaH9QPoJSRNJMXu8Jt%2BBkHTJOwSYb6%2FJwYKL8%2FKimxkdXuAyLD4W65FjSqcAi1piFPk2ryxTstCDmm7U5y5ZyUG%2FJCZfcB%2F3lDbmnqCzDueq4P1e2PKkg4kcNhzYnhSO35n8addL6vx2o8d3LyUD6UDPYLUoM9UTL1Nu%2BAS00Pujr7IujYOKzINhcrSFoinS0pbR1Pf%2FUB4xNuIjGpMqy9AN4kkbqppYgsL497miDN2%2FKqQrFxTg%2FrnXhKupypVWF8S8oSv8ZGJbbpUxSAadFgbxOen4ZGWCDkcODxV0YQYBmzQ8ISvDkQmEEGFqP%2BAiyLYj0DFJkBPrftyNlw0mLvXbWQF6Z2kVcGICN27rCCwy85qnhUUY32%2B99MDscsTzwS6QSDx8qg4LKYa1%2FfQK4lUu4DIsPhbrkWAU6XHE5%2Fjo4DAC7Vbu9hRNkevJckDOYlO2TQvaduT%2FHqBgVi2s6kYLSPWh%2F1BebhoiVT5BndoYzU3kHQz2T7%2FLpw4gUWPJf4nx5S3Dgcn2YCZvICjmW8UXYVDfQa3bHY9EuO%2FTLBG4N6qwdqaiUtaRR5v2Xi3aTzmkc6jidn2%2BUV0%2BqFxa9C%2BpOMtgga4HabhzceUI4LWoHSxovghksN5GwuCb4Ac9Msa6PwVCBSAWB52lSEWBwpmen%2FNUQjSdCKEiv0kS6H%2FSmpdJigkNnES09hT44x%2FJAC8IO2Xp%2F9ES3yQUWo3VKkMUgyl830T6HLTrCZEJqFFJn4NRCz41UVq0YX5nSsCxoB0uqsJTohL3OrQKDib96K%2BMtgWfi50PIzcg%2BUNOzQJGBuCF000sAaWqVEVRf01zzllCs7virAdmhSm2k8R7B8FCl8%2FwsLNpX%2Bj0sB%2Bh7D3ISSEZFVh%2F0cy10QF8LheeIK2q0AcaWP2S0QxInvQ6BFSZgZjcYUkdhGRZgcOvOJR2V7pQC11g4l6u%2B6%2B2aSXdhUizam%2BH7b41lLvv50Ji3Q4EXAeXZYKMJxoZk%2B8HHU88G1kBemdpFXBiRUHwbtqw6TMnIdOXPoNk1s2%2FVK7W7Xk%2FWQF6Z2kVcGPncdQoJay2n%2FZ6C%2FZ%2F3o75UfBAb88iJmzWjPV9VxCUuosm%2FB3FwgLU9r6IdynujagWIN0t70UXxN8qCV%2F1m4YRR8gILMWZycbgHY0ZzdJ5wab3cFQwRJhecd%2FPsD6k2tUjpfSSgO%2FQXfPtHI9xFi7pQu0q4I1lZCP7954GNGaKtVXIPOeQH4FIOOCeFR%2BXspGxKZmY%2FbTVTl8bdPplj3eikqerrFFsssJ%2FxhbBYibpNUtntymk%2By%2B5raVnXSJu2u45R9WHIapfs3sH1ogh0E6M9g6OnIXpZ0fAF1dqPWDBMbsgV2GG1HlffFIFwXzsQLBpITeSkxOUX1%2F1xT1fwCynX8Sp7hLiYw6zdsKOijbIw%2Fosd3iwracYPLOdAouipXJHmkptOfSSmqKNXYhNGTnOH7SeVhqhnEoL3szlgXJru5xALWqYwTKefluqP0zBJPLYsR16qnKbBw%2FpcxuuG4xZco9uHNuwNs09257FaiPBoP1cV3PUgxFrQfLmm7vIg30HoOrS17sxp%2B0zx0R4ylBkV%2BTXT797ERK5b9dLuFIOmWRuPPpXSTU064UEVH5oO3%2F7954GNGaKtqSLYhlRs1GDCiz%2B7xIDaLuRK8BiXlsARqVC3gMshO3Ie%2FLk0WFRm9kWSwxLnK1oWDfv8DQBctTvkK7ghb0BnLJSj0qowGWPwUKxZpxITse8ChhT8Ynyplb4DNcnQZ320&mm_sceneid=1_0_438010033_0&a=xxc%3Dad_ztc%26mi_id%3D0000gE_sgjp9nQ6P-7qbXGzx0cMfuqMtYQbBP2bbfMYRRwM%26skuId%3D6009693233781&id=750776311357
688266269740,【自营】万代RG突击自由强袭命运正义飞翼强化红异端高达拼装模型,999,¥,券后价,天猫国际母婴直营,天猫国际自营萌宝社,回头客9万,2000+人付款,浙江 杭州,"热销爆款, 退货宝, 满88包邮",,https://gw.alicdn.com/imgextra/O1CN01Jqinl21mIuWBzAMYe_!!2200657724932-0-tmg_sticker.jpg,//detail.tmall.com/item.htm?id=688266269740&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000oIFXTgfd_GHI14AsFW0LLBOpZXXBUo9E3P-q8Jn5Z-A&skuId=4884466392084
926350246698,新生强袭自由HG高达机甲模型红异端独角兽拼装手办六一儿童节礼物,13.8,¥,,tb000917554986,星顺玩具,,3000+人付款,广东 汕头,"48小时内发, 包邮",,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2217192086639/O1CN01wNt8iA1yuiW9HVg3C_!!2217192086639.jpg,//item.taobao.com/item.htm?id=926350246698&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000N0Q_jfNqKHCbmj6WcoBVtK57CSiCmGEe46kUPPxZmTQ&skuId=5973934190603
796477757784,大班MG红异端高拼装达模型强袭自由白雪姬独角兽机甲手办男生玩具,236,¥,券后价,旭动旗舰店,旭动旗舰店,,2000+人付款,江西 抚州,"官方立减12%, 退货宝, 包邮",分色等级:完整 | 机体名称:红异端 | 模型级别:MG | 刻线复杂度:简单 | 出售状态:现货 | 表面处理:水贴 | 版本类型:大陆,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2217744569467/O1CN01jOsbu42JnwVnG0cET_!!0-item_pic.jpg,//detail.tmall.com/item.htm?id=796477757784&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000BrWn8xmstllKOtdt5Q0RAS-YsTJ1RL3ekumRXq8jKHo&skuId=5429798232735
811682632894,HG新生命运强袭自由MG独角兽红异端入门拼装高达模型玩具手办男孩,88,¥,券后价,猫点购旗舰店,猫点购旗舰店,,4000+人付款,浙江 金华,"淘金币抵4.4元, 退货宝, 包邮, 公益宝贝",商品属性:普通款 | 模型级别:HG | 刻线复杂度:简单 | 出售状态:现货 | 版本类型:大陆,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2218070948476/O1CN01uj3YTW2CU41bwEGDb_!!0-item_pic.jpg,//detail.tmall.com/item.htm?id=811682632894&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000d7gjbs_LbtHu4ghNmMMrm1adJh9W6k9uwFza2OUjt3c&skuId=5673211382400
955845724209,高达MG白雪姬独角兽MB强袭自由沙扎比拼装模型手办机甲玩具摆件,396,¥,,qq350462902,高端模型店,7年老店,1000+人付款,广东 汕头,"退货宝, 包邮, 公益宝贝",模型级别:MG | 出售状态:现货 | 品牌:高达,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/745263003/O1CN01TvLi6k1Y3QSfQx0qo_!!745263003.jpg,//item.taobao.com/item.htm?id=955845724209&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000ewfuNZwzmc0zvD0Z3ozdQLaHxzzkn2hpve5WJoDAMtU&skuId=6045127947848
953853074314,高达模型强袭自由红异端HG七剑元祖独角兽能天使手办机甲拼装玩具,96.8,¥,券后价,蕾思绮玩具旗舰店,蕾思绮玩具旗舰店,,800+人付款,浙江 金华,"退货宝, 包邮",,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/2219640157760/O1CN0150xFtv27C8XSnTxai_!!4611686018427385408-0-item_pic.jpg,//detail.tmall.com/item.htm?id=953853074314&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000KvHLmOMHts_Gol02H12nFhmCoWrmFRboPSnFszj0KPY&skuId=6056058370795
958734742662,MG樱花粉自由高达自由2.0 MG1/100新手拼装模型摆件玩具礼物,129.98,¥,券后价,tb48381205466,紫罗兰的花园,,1000+人付款,广东 汕头,"官方立减17.7元, 包邮",机体名称:自由 | 模型级别:MG | 出售状态:现货 | 版本类型:大陆 | 品牌:高达,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/2215812086903/O1CN01GEagmR20rd3UMrbb3_!!2215812086903.jpg,//item.taobao.com/item.htm?id=958734742662&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=000079SypX_cQRM_o0CjFUe0fnozXolIMDGKG1kqvLGIHC4&skuId=5663747808718
1009769157412,高达大班拼装模型盲盒HG独角兽MG模型玩具敢达红异端海牛RG福袋,19.9,¥,,chen8222014,模型世家玩具店,,400+人付款,广东 揭阳,48小时内发,商品属性:普通款 | 模型级别:HG | 出售状态:现货 | 版本类型:大陆,"https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/2099726019/O1CN01WM4iP71uKl2BNHlvV~crop,23,0,1261,1261~_!!2099726019.jpg",//item.taobao.com/item.htm?id=1009769157412&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000jDPMIaTYmeWGsJCdeOfJ55rNN_sY7Dd56pcR21Gpn-U&skuId=6008929596168
740507827912,高达模型拼装HG强袭自由飞翼独角兽红异端MG新生机甲男孩手办玩具,118,¥,券后价,歌暮旗舰店,歌暮旗舰店,,1000+人付款,浙江 金华,"退货宝, 48小时内发, 包邮, 公益宝贝",适用年龄:14岁以上 | 玩具类型:消防积木,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/2212585814216/O1CN017txkIF1h0yh31oTUQ_!!0-item_pic.jpg,//detail.tmall.com/item.htm?id=740507827912&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000YzQwOTJjnVgX8-hGBmdXIB1oJBLftVZyf4Sn12a_en0&skuId=5108799193292
